level,environment,guard_family,optional_graphic_rows,graphics_request,graphics_live,near_graphics_live,cutscene_before,special,pc_asset_request,pc_asset_live,pc_far_asset_live,pc_surface_far_live,pc_far_live_with_surface,pc_startup_far_pool_payload,pc_startup_far_block_chain_extent_capacity,pc_aggregate_free_block_extent_before_hole_contiguity,pc_dos_free_payload_outside_crt_pools_after_startup_probe,sb_asset_request,sb_asset_live,sb_far_asset_live,sb_surface_far_live,sb_far_live_with_surface,sb_startup_far_pool_payload,sb_startup_far_block_chain_extent_capacity,sb_aggregate_free_block_extent_before_hole_contiguity,sb_dos_free_payload_outside_crt_pools_after_startup_probe,mt32_asset_request,mt32_asset_live,mt32_far_asset_live,mt32_surface_far_live,mt32_far_live_with_surface,mt32_startup_far_pool_payload,mt32_startup_far_block_chain_extent_capacity,mt32_aggregate_free_block_extent_before_hole_contiguity,mt32_dos_free_payload_outside_crt_pools_after_startup_probe
0,Dungeon,GUARD,4|5|6,125109,126400,2620,none,Demo; chomper and spike sounds preloaded,128943,130352,127732,15362,143094,466608,466498,323404,1376,233384,234790,232170,15362,247532,466608,466498,218966,1376,136203,137622,135002,15362,150364,425696,425600,275236,42304
1,Dungeon,GUARD,1|6,106547,107720,2620,none,Falling entry; skeleton-tile and spike sounds preloaded,110208,111496,108876,15362,124238,466608,466498,342260,1376,207753,209040,206420,15362,221782,466608,466498,244716,1376,117494,118792,116172,15362,131534,425696,425600,294066,42304
2,Dungeon,GUARD,4|6,112915,114104,2620,early,Early pre-level princess cutscene; spike sounds preloaded,116514,117816,115196,15362,130558,466608,466498,335940,1376,211442,212742,210122,15362,225484,466608,466498,241014,1376,123728,125040,122420,15362,137782,425696,425600,287818,42304
3,Dungeon,SKEL,1|5|6,115348,116608,2596,none,Skeleton wakes/reappears; family already resident,119244,120624,118028,15362,133390,466608,466498,333108,1376,226302,227680,225084,15362,240446,466608,466498,226052,1376,126576,127966,125370,15362,140732,425696,425600,284868,42304
4,Palace,GUARD,0|2|3|5|6,136059,137380,2620,late,Mirror and shadow emergence; no event-time DAT load,140042,141484,138864,15362,154226,466608,466498,312272,1376,248579,250018,247398,15362,262760,466608,466498,203738,1376,147254,148706,146086,15362,161448,425696,425600,264152,42304
5,Palace,GUARD,0|3|4|5|6,140773,142112,2620,none,Shadow steals potion using KID frames,144607,146064,143444,15362,158806,466608,466498,307692,1376,249048,250502,247882,15362,263244,466608,466498,203254,1376,151867,153334,150714,15362,166076,425696,425600,259524,42304
6,Palace,FAT,0|3|5|6|7,137087,138418,2620,late,Fat guard resident; scripted shadow uses KID frames,140921,142370,139750,15362,155112,466608,466498,311386,1376,245362,246808,244188,15362,259550,466608,466498,206948,1376,148181,149640,147020,15362,162382,425696,425600,263218,42304
7,Dungeon,GUARD,1|5|6,118741,120016,2620,none,Ordinary dungeon gameplay,122637,124032,121412,15362,136774,466608,466498,329724,1376,229695,231088,228468,15362,243830,466608,466498,222668,1376,129969,131374,128754,15362,144116,425696,425600,281484,42304
8,Dungeon,GUARD,1|5|6,118741,120016,2620,late,Mouse event uses KID frames; no event-time load,122637,124032,121412,15362,136774,466608,466498,329724,1376,229695,231088,228468,15362,243830,466608,466498,222668,1376,129969,131374,128754,15362,144116,425696,425600,281484,42304
9,Dungeon,GUARD,4|5|6,125109,126400,2620,late,Late pre-level princess cutscene,128943,130352,127732,15362,143094,466608,466498,323404,1376,233384,234790,232170,15362,247532,466608,466498,218966,1376,136203,137622,135002,15362,150364,425696,425600,275236,42304
10,Palace,GUARD,0|3|4|5|6,140773,142112,2620,none,Largest stock retained-asset state (tie with level 5),144607,146064,143444,15362,158806,466608,466498,307692,1376,249048,250502,247882,15362,263244,466608,466498,203254,1376,151867,153334,150714,15362,166076,425696,425600,259524,42304
11,Palace,GUARD,3|5|6,124563,125848,2620,none,Ordinary palace gameplay,128397,129800,127180,15362,142542,466608,466498,323956,1376,232838,234238,231618,15362,246980,466608,466498,219518,1376,135657,137070,134450,15362,149812,425696,425600,275788,42304
12,Dungeon,SHADOW,1|4|6,110531,111728,2612,late,Shadow fight/unite; SHADOW family resident for whole level,114192,115504,112892,15362,128254,466608,466498,338244,1376,211737,213048,210436,15362,225798,466608,466498,240700,1376,121478,122800,120188,15362,135550,425696,425600,290050,42304
13,Dungeon,VIZIER,4,103905,105020,2620,none,Vizier fight; VIZIER family resident for whole level,107185,108408,105788,15362,121150,466608,466498,345348,1376,192947,194168,191548,15362,206910,466608,466498,259588,1376,114478,115710,113090,15362,128452,425696,425600,297148,42304
14,Palace,NONE,0|3|7,99248,100320,2476,none,Princess room; reunion starts in room 5,102528,103708,101232,15362,116594,466608,466498,349904,1376,188290,189468,186992,15362,202354,466608,466498,264144,1376,109821,111010,108534,15362,123896,425696,425600,301704,42304
15,Dungeon,NONE,,78864,79872,2476,none,Copy-protection level; dialog uses transient peel memory,82144,83260,80784,15362,96146,466608,466498,370352,1376,167906,169020,166544,15362,181906,466608,466498,284592,1376,89437,90562,88086,15362,103448,425696,425600,322152,42304
