state_id,state_kind,state_label,device,asset_id,category,archive,resource_selector,near_live,far_live,total_live,lifetime,confidence
level-0,level,Level 0 - Dungeon / GUARD,pc,sword,permanent,PRINCE.DAT,table 700; image resources 701-734,144,2680,2824,startup anchor; slot 0 remains resident,exact
level-0,level,Level 0 - Dungeon / GUARD,pc,flame-sword-potion,permanent,PRINCE.DAT,table 150; image resources 151-173,192,4416,4608,startup anchor; slot 1 remains resident,exact
level-0,level,Level 0 - Dungeon / GUARD,pc,kid,character,KID.DAT,table 400; image resources 401-619,884,35600,36484,gameplay session; slot 2 remains through pre-level scenes and reunion,exact
level-0,level,Level 0 - Dungeon / GUARD,pc,dungeon,environment,CDUNGEON.DAT,table 200; image resources 201-351,1216,30668,31884,current level family; slot 6,exact
level-0,level,Level 0 - Dungeon / GUARD,pc,dungeon-wall,environment,CDUNGEON.DAT,table 360; image resources 361-364,40,4032,4072,current level family; slot 7,exact
level-0,level,Level 0 - Dungeon / GUARD,pc,guard,character,GUARD.DAT,GUARD.DAT resources 751-784; palette resource 750 is selected from GUARD1.DAT (palace) or GUARD2.DAT (dungeon),144,18504,18648,current level guard family; slot 5,exact
level-0,level,Level 0 - Dungeon / GUARD,pc,optional-dungeon-row-4,optional,CDUNGEON.DAT,slot-6 table 200 logical indices 86-91; populated from resources 1286-1291,0,7572,7572,selected at the level boundary; retained for that level,exact
level-0,level,Level 0 - Dungeon / GUARD,pc,optional-dungeon-row-5,optional,CDUNGEON.DAT,slot-6 table 200 logical indices 101-123; populated from resources 1301-1323,0,12296,12296,selected at the level boundary; retained for that level,exact
level-0,level,Level 0 - Dungeon / GUARD,pc,optional-dungeon-row-6,optional,CDUNGEON.DAT,slot-6 table 200 logical indices 127-143; populated from resources 1327-1343,0,8012,8012,selected at the level boundary; retained for that level,exact
level-0,level,Level 0 - Dungeon / GUARD,pc,surface-gameplay,surface,,runtime-created surface; not stored in a DAT,436,15362,15798,current gameplay or full-screen display state,exact
level-0,level,Level 0 - Dungeon / GUARD,pc,sound-pc,sound,IBM_SND1.DAT | IBM_SND2.DAT,IBM_SND1 resources 10000-10043; selected logical sounds 44-56 use IBM_SND2,0,3952,3952,"core sounds persist; title, ending, and event sounds follow state boundaries",exact resource-selected totals; see the Sound Blaster detection caveat
level-0,level,Level 0 - Dungeon / GUARD,sb,sword,permanent,PRINCE.DAT,table 700; image resources 701-734,144,2680,2824,startup anchor; slot 0 remains resident,exact
level-0,level,Level 0 - Dungeon / GUARD,sb,flame-sword-potion,permanent,PRINCE.DAT,table 150; image resources 151-173,192,4416,4608,startup anchor; slot 1 remains resident,exact
level-0,level,Level 0 - Dungeon / GUARD,sb,kid,character,KID.DAT,table 400; image resources 401-619,884,35600,36484,gameplay session; slot 2 remains through pre-level scenes and reunion,exact
level-0,level,Level 0 - Dungeon / GUARD,sb,dungeon,environment,CDUNGEON.DAT,table 200; image resources 201-351,1216,30668,31884,current level family; slot 6,exact
level-0,level,Level 0 - Dungeon / GUARD,sb,dungeon-wall,environment,CDUNGEON.DAT,table 360; image resources 361-364,40,4032,4072,current level family; slot 7,exact
level-0,level,Level 0 - Dungeon / GUARD,sb,guard,character,GUARD.DAT,GUARD.DAT resources 751-784; palette resource 750 is selected from GUARD1.DAT (palace) or GUARD2.DAT (dungeon),144,18504,18648,current level guard family; slot 5,exact
level-0,level,Level 0 - Dungeon / GUARD,sb,optional-dungeon-row-4,optional,CDUNGEON.DAT,slot-6 table 200 logical indices 86-91; populated from resources 1286-1291,0,7572,7572,selected at the level boundary; retained for that level,exact
level-0,level,Level 0 - Dungeon / GUARD,sb,optional-dungeon-row-5,optional,CDUNGEON.DAT,slot-6 table 200 logical indices 101-123; populated from resources 1301-1323,0,12296,12296,selected at the level boundary; retained for that level,exact
level-0,level,Level 0 - Dungeon / GUARD,sb,optional-dungeon-row-6,optional,CDUNGEON.DAT,slot-6 table 200 logical indices 127-143; populated from resources 1327-1343,0,8012,8012,selected at the level boundary; retained for that level,exact
level-0,level,Level 0 - Dungeon / GUARD,sb,surface-gameplay,surface,,runtime-created surface; not stored in a DAT,436,15362,15798,current gameplay or full-screen display state,exact
level-0,level,Level 0 - Dungeon / GUARD,sb,sound-sb,sound,DIGISND3.DAT | DIGISND1.DAT | DIGISND2.DAT | MIDISND1.DAT | IBM_SND1.DAT,DIGISND3/1 digitized core plus PRINCE resource 1 OPL bank; DIGISND2/MIDISND2 optional resources and MIDI/IBM fallbacks,0,108390,108390,"core sounds persist; title, ending, and event sounds follow state boundaries",exact resource-selected totals; see the Sound Blaster detection caveat
level-0,level,Level 0 - Dungeon / GUARD,mt32,sword,permanent,PRINCE.DAT,table 700; image resources 701-734,144,2680,2824,startup anchor; slot 0 remains resident,exact
level-0,level,Level 0 - Dungeon / GUARD,mt32,flame-sword-potion,permanent,PRINCE.DAT,table 150; image resources 151-173,192,4416,4608,startup anchor; slot 1 remains resident,exact
level-0,level,Level 0 - Dungeon / GUARD,mt32,kid,character,KID.DAT,table 400; image resources 401-619,884,35600,36484,gameplay session; slot 2 remains through pre-level scenes and reunion,exact
level-0,level,Level 0 - Dungeon / GUARD,mt32,dungeon,environment,CDUNGEON.DAT,table 200; image resources 201-351,1216,30668,31884,current level family; slot 6,exact
